<<<<<<< HEAD
pos	campo	tipo	nulos	ceros
62	catm_trx_other	integer	153386	3561581
63	ctrx_quarter	integer	153386	44027
64	cmobile_app_trx	integer	914607	1372849
65	Master_delinquency	integer	541263	4329145
66	Master_status	integer	541263	4333111
67	Master_Fvencimiento	integer	541263	0
68	Master_Finiciomora	integer	4870408	41
69	Master_fultimo_cierre	integer	544124	303016
70	Master_fechaalta	integer	541263	0
71	Master_cconsumos	integer	2935087	570686
72	Master_cadelantosefectivo	integer	2935087	1946238
73	Visa_delinquency	integer	205561	4619017
74	Visa_status	integer	205561	4664942
75	Visa_Fvencimiento	integer	205561	0
76	Visa_Finiciomora	integer	4824578	35128
77	Visa_fultimo_cierre	integer	207447	307187
78	Visa_fechaalta	integer	205561	0
79	Visa_cconsumos	integer	661099	367315
80	Visa_cadelantosefectivo	integer	661099	4210604
81	clase_ternaria	character	0	0
82	ctrx_quarter_normalizado	integer	153386	44027
83	vm_status01	integer	176316	4688197
84	vm_status02	integer	570508	4301548
85	vm_status03	numeric	0	4301548
86	vm_status04	numeric	0	4301548
87	vm_status05	numeric	0	4301548
88	vm_status06	numeric	0	4692047
89	vm_Fvencimiento	integer	176316	0
90	vm_Finiciomora	integer	4811971	35169
91	vm_fultimo_cierre	integer	178108	275854
92	vm_fechaalta	integer	176316	0
93	vm_cconsumos	numeric	0	931516
94	vm_cadelantosefectivo	numeric	0	4866104
95	vmr_Master_mlimitecompra	numeric	541263	0
96	vmr_Visa_mlimitecompra	numeric	205561	0
97	vmr_msaldototal	numeric	0	598064
98	vmr_msaldopesos	numeric	0	601773
99	vmr_msaldopesos2	numeric	17	601773
100	vmr_msaldodolares	numeric	0	4009618
101	vmr_msaldodolares2	numeric	22	4009618
102	vmr_mconsumospesos	numeric	0	931678
103	vmr_mconsumosdolares	numeric	0	3054873
104	vmr_madelantopesos	numeric	0	4866104
105	vmr_madelantodolares	numeric	0	4891198
106	vmr_mpagado	numeric	0	4000289
107	vmr_mpagospesos	numeric	0	719773
108	vmr_mpagosdolares	numeric	0	4286370
109	vmr_mconsumototal	numeric	0	931678
110	vmr_mpagominimo	numeric	0	808085
111	informacion_cliente_nueva_variable_1	integer	0	87
112	informacion_cliente_nueva_variable_2	integer	4622243	0
113	informacion_cliente_nueva_variable_3	integer	0	0
114	informacion_cliente_nueva_variable_4	integer	0	0
115	informacion_cliente_nueva_variable_5	integer	0	0
116	informacion_cliente_nueva_variable_6	integer	0	87
117	informacion_cliente_nueva_variable_7	integer	0	0
118	informacion_cliente_nueva_variable_8	numeric	0	87
119	informacion_cliente_nueva_variable_9	integer	0	0
120	informacion_cliente_nueva_variable_10	integer	4542342	87
121	informacion_cliente_nueva_variable_11	integer	0	0
122	informacion_cliente_nueva_variable_12	integer	0	0
123	informacion_cliente_nueva_variable_13	numeric	0	87
124	informacion_cliente_nueva_variable_14	integer	4622243	0
125	informacion_cliente_nueva_variable_15	integer	0	0
126	informacion_cliente_nueva_variable_16	integer	4542342	87
127	informacion_cliente_nueva_variable_17	integer	0	0
128	rendimiento_financiero_nueva_variable_1	numeric	417584	11922
129	rendimiento_financiero_nueva_variable_2	numeric	417584	13379
130	rendimiento_financiero_nueva_variable_3	numeric	417584	10309
131	rendimiento_financiero_nueva_variable_4	numeric	417584	11925
132	rendimiento_financiero_nueva_variable_5	numeric	417584	202534
133	rendimiento_financiero_nueva_variable_6	numeric	417584	11925
134	rendimiento_financiero_nueva_variable_7	numeric	417584	12105
135	rendimiento_financiero_nueva_variable_8	numeric	496412	202399
136	rendimiento_financiero_nueva_variable_9	numeric	417584	10220
137	rendimiento_financiero_nueva_variable_10	numeric	417584	12083
138	rendimiento_financiero_nueva_variable_11	numeric	465466	10354
139	rendimiento_financiero_nueva_variable_12	numeric	417756	58101
140	rendimiento_financiero_nueva_variable_13	numeric	417719	58101
141	rendimiento_financiero_nueva_variable_14	numeric	417584	10353
142	rendimiento_financiero_nueva_variable_15	numeric	417584	161747
143	rendimiento_financiero_nueva_variable_16	numeric	417584	11925
144	rendimiento_financiero_nueva_variable_17	numeric	417584	10219
145	productos_cuentas_nueva_variable_1	integer	0	0
146	productos_cuentas_nueva_variable_2	numeric	0	0
147	productos_cuentas_nueva_variable_3	numeric	0	4889978
148	productos_cuentas_nueva_variable_4	integer	0	0
149	productos_cuentas_nueva_variable_5	numeric	0	0
150	productos_cuentas_nueva_variable_6	numeric	0	2425857
151	productos_cuentas_nueva_variable_7	integer	0	0
152	productos_cuentas_nueva_variable_8	numeric	0	67
153	productos_cuentas_nueva_variable_9	integer	0	0
154	productos_cuentas_nueva_variable_10	integer	0	0
155	productos_cuentas_nueva_variable_11	numeric	0	2425857
156	productos_cuentas_nueva_variable_12	numeric	0	1
157	productos_cuentas_nueva_variable_13	integer	0	0
158	productos_cuentas_nueva_variable_14	numeric	0	4889978
159	productos_cuentas_nueva_variable_15	integer	0	0
160	productos_cuentas_nueva_variable_16	integer	0	0
161	productos_cuentas_nueva_variable_17	integer	0	0
162	productos_cuentas_nueva_variable_18	numeric	0	0
163	productos_cuentas_nueva_variable_19	numeric	0	4889978
164	ahorros_depositos_nueva_variable_1	numeric	0	0
165	ahorros_depositos_nueva_variable_2	numeric	0	2100926
166	ahorros_depositos_nueva_variable_3	numeric	2724401	2100926
167	ahorros_depositos_nueva_variable_4	numeric	0	2182666
168	ahorros_depositos_nueva_variable_5	numeric	0	2054471
169	ahorros_depositos_nueva_variable_6	numeric	0	4778872
170	ahorros_depositos_nueva_variable_7	numeric	0	319282
171	ahorros_depositos_nueva_variable_8	numeric	0	0
172	ahorros_depositos_nueva_variable_9	numeric	0	327802
173	ahorros_depositos_nueva_variable_10	numeric	0	319284
174	ahorros_depositos_nueva_variable_11	numeric	0	2100926
175	ahorros_depositos_nueva_variable_12	numeric	0	0
176	ahorros_depositos_nueva_variable_13	numeric	0	0
177	ahorros_depositos_nueva_variable_14	numeric	0	4825327
178	ahorros_depositos_nueva_variable_15	numeric	0	246067
179	ahorros_depositos_nueva_variable_16	numeric	0	327802
180	prestamos_inversiones_nueva_variable_1	numeric	0	3592090
181	prestamos_inversiones_nueva_variable_2	numeric	0	3592426
182	prestamos_inversiones_nueva_variable_3	numeric	0	3628619
183	prestamos_inversiones_nueva_variable_4	numeric	0	3628619
184	prestamos_inversiones_nueva_variable_5	numeric	0	4871544
185	prestamos_inversiones_nueva_variable_6	numeric	0	3592426
186	prestamos_inversiones_nueva_variable_7	numeric	0	4835714
187	prestamos_inversiones_nueva_variable_8	numeric	0	3628619
188	prestamos_inversiones_nueva_variable_9	numeric	0	3628619
189	prestamos_inversiones_nueva_variable_10	integer	0	3602793
190	prestamos_inversiones_nueva_variable_11	numeric	0	4835714
191	prestamos_inversiones_nueva_variable_12	numeric	36529	4835015
192	prestamos_inversiones_nueva_variable_13	numeric	0	4871544
193	prestamos_inversiones_nueva_variable_14	numeric	0	3628619
194	prestamos_inversiones_nueva_variable_15	integer	0	3602793
195	prestamos_inversiones_nueva_variable_16	numeric	0	3592090
196	prestamos_inversiones_nueva_variable_17	integer	0	4871544
197	prestamos_inversiones_nueva_variable_18	numeric	0	4835714
198	prestamos_inversiones_nueva_variable_19	numeric	0	3592090
199	seguros_seguridad_nueva_variable_1	numeric	420628	4177672
200	seguros_seguridad_nueva_variable_2	integer	0	4744780
201	seguros_seguridad_nueva_variable_3	numeric	464747	4242239
202	seguros_seguridad_nueva_variable_4	numeric	464747	4242239
203	seguros_seguridad_nueva_variable_5	integer	0	3623527
204	seguros_seguridad_nueva_variable_6	integer	0	4183573
205	seguros_seguridad_nueva_variable_7	integer	0	4744780
206	seguros_seguridad_nueva_variable_8	numeric	618712	4088274
207	seguros_seguridad_nueva_variable_9	numeric	420628	4177672
208	seguros_seguridad_nueva_variable_10	integer	0	4706986
209	seguros_seguridad_nueva_variable_11	numeric	502541	4242239
210	seguros_seguridad_nueva_variable_12	integer	0	4008692
211	seguros_seguridad_nueva_variable_13	integer	0	4744780
212	seguros_seguridad_nueva_variable_14	numeric	567108	4177672
213	seguros_seguridad_nueva_variable_15	integer	0	3900580
214	seguros_seguridad_nueva_variable_16	numeric	99207	4772479
215	seguros_seguridad_nueva_variable_17	numeric	464747	4242239
216	seguros_seguridad_nueva_variable_18	integer	0	4598300
217	seguros_seguridad_nueva_variable_19	numeric	618712	4088274
218	transacciones_pagos_nueva_variable_1	numeric	0	2504130
219	transacciones_pagos_nueva_variable_2	numeric	0	2504076
220	transacciones_pagos_nueva_variable_3	integer	0	2517033
221	transacciones_pagos_nueva_variable_4	numeric	0	2504076
222	transacciones_pagos_nueva_variable_5	numeric	0	2605655
223	transacciones_pagos_nueva_variable_6	numeric	0	2605587
224	transacciones_pagos_nueva_variable_7	numeric	0	2605587
225	transacciones_pagos_nueva_variable_8	numeric	0	2504094
226	transacciones_pagos_nueva_variable_9	numeric	0	2504130
227	transacciones_pagos_nueva_variable_10	numeric	0	2605588
228	transacciones_pagos_nueva_variable_11	numeric	101561	4714173
229	transacciones_pagos_nueva_variable_12	numeric	0	4714173
230	transacciones_pagos_nueva_variable_13	numeric	0	2504076
231	transacciones_pagos_nueva_variable_14	numeric	0	2605588
232	transacciones_pagos_nueva_variable_15	numeric	0	4815734
233	comisiones_forex_nueva_variable_1	numeric	0	3352486
234	comisiones_forex_nueva_variable_2	numeric	1501230	3352486
235	comisiones_forex_nueva_variable_3	numeric	0	3263899
236	comisiones_forex_nueva_variable_4	numeric	73155	4780168
237	comisiones_forex_nueva_variable_5	numeric	0	3278944
238	comisiones_forex_nueva_variable_6	numeric	1516271	3337052
239	comisiones_forex_nueva_variable_7	numeric	0	3352486
240	comisiones_forex_nueva_variable_8	numeric	0	3337052
241	comisiones_forex_nueva_variable_9	numeric	0	4780168
242	comisiones_forex_nueva_variable_10	numeric	0	3337054
243	comisiones_forex_nueva_variable_11	numeric	0	3352486
244	comisiones_forex_nueva_variable_12	numeric	0	4780168
245	comisiones_forex_nueva_variable_13	numeric	0	3278938
246	comisiones_forex_nueva_variable_14	numeric	1516271	3337052
247	comisiones_forex_nueva_variable_15	numeric	15434	3337052
248	comisiones_forex_nueva_variable_16	numeric	0	3337054
249	comisiones_forex_nueva_variable_17	numeric	0	4780168
250	cheques_transferencias_nueva_variable_1	numeric	153386	4724217
251	cheques_transferencias_nueva_variable_2	numeric	153386	4724217
252	cheques_transferencias_nueva_variable_3	numeric	153386	4724217
253	cheques_transferencias_nueva_variable_4	numeric	153386	4724217
254	cheques_transferencias_nueva_variable_5	numeric	153386	4724217
255	cheques_transferencias_nueva_variable_6	numeric	153386	4724217
256	cheques_transferencias_nueva_variable_7	numeric	153386	4724217
257	cheques_transferencias_nueva_variable_8	numeric	153386	4724217
258	cheques_transferencias_nueva_variable_9	numeric	153386	4724217
259	cheques_transferencias_nueva_variable_10	numeric	153386	4724217
260	cheques_transferencias_nueva_variable_11	numeric	153386	4724217
261	cheques_transferencias_nueva_variable_12	numeric	153386	4724217
262	cheques_transferencias_nueva_variable_13	numeric	153386	4724217
263	cheques_transferencias_nueva_variable_14	numeric	153386	4724217
264	cheques_transferencias_nueva_variable_15	numeric	153386	4724217
265	cheques_transferencias_nueva_variable_16	numeric	153386	4724217
266	informacion_tarjeta_credito_nueva_variable_1	numeric	541263	4338929
267	informacion_tarjeta_credito_nueva_variable_2	numeric	541263	4330180
268	informacion_tarjeta_credito_nueva_variable_3	numeric	4874373	5819
269	informacion_tarjeta_credito_nueva_variable_4	numeric	560010	4329145
270	informacion_tarjeta_credito_nueva_variable_5	integer	541263	4314364
271	informacion_tarjeta_credito_nueva_variable_6	numeric	547081	4333111
272	informacion_tarjeta_credito_nueva_variable_7	integer	541263	4347892
273	informacion_tarjeta_credito_nueva_variable_8	numeric	541263	4784
274	informacion_tarjeta_credito_nueva_variable_9	numeric	541263	4330180
275	informacion_tarjeta_credito_nueva_variable_10	numeric	541263	4338929
276	informacion_tarjeta_credito_nueva_variable_11	numeric	541263	4784
277	informacion_tarjeta_credito_nueva_variable_12	numeric	541263	1
278	informacion_tarjeta_credito_nueva_variable_13	integer	541263	4314364
279	informacion_tarjeta_credito_nueva_variable_14	numeric	4865624	5819
280	informacion_tarjeta_credito_nueva_variable_15	numeric	541263	4330180
281	mrentabilidad_rank	numeric	417584	12082
282	mrentabilidad_annual_rank	numeric	417584	10354
283	mcomisiones_rank	numeric	417584	129278
284	mactivos_margen_rank	numeric	417584	202399
285	mpasivos_margen_rank	numeric	417584	58101
286	mcuenta_corriente_adicional_rank	numeric	0	4889978
287	mcuenta_corriente_rank	numeric	0	2425857
288	mcaja_ahorro_rank	numeric	0	327802
289	mcaja_ahorro_adicional_rank	numeric	0	4778872
290	mcaja_ahorro_dolares_rank	numeric	0	2100926
291	mcuentas_saldo_rank	numeric	153386	32670
292	mautoservicio_rank	numeric	153386	1550016
293	mtarjeta_visa_consumo_rank	numeric	153386	714248
294	mtarjeta_master_consumo_rank	numeric	153386	3005593
295	mprestamos_personales_rank	numeric	0	3628619
296	mprestamos_prendarios_rank	numeric	0	4835382
297	mprestamos_hipotecarios_rank	numeric	0	4832321
298	mplazo_fijo_dolares_rank	numeric	0	4312164
299	mplazo_fijo_pesos_rank	numeric	0	4871057
300	minversion1_pesos_rank	numeric	0	4727227
301	minversion1_dolares_rank	numeric	0	4866876
302	minversion2_rank	numeric	0	4720511
303	mpayroll_rank	numeric	0	2390279
304	mpayroll2_rank	numeric	0	4884663
305	mcuenta_debitos_automaticos_rank	numeric	0	2554449
306	mttarjeta_visa_debitos_automaticos_rank	numeric	127059	1702966
307	mttarjeta_master_debitos_automaticos_rank	numeric	0	4087041
308	mpagodeservicios_rank	numeric	0	4714243
309	mpagomiscuentas_rank	numeric	0	2605655
310	mcajeros_propios_descuentos_rank	numeric	136515	4609221
311	mtarjeta_visa_descuentos_rank	numeric	219440	4486991
312	mtarjeta_master_descuentos_rank	numeric	211207	4624474
313	mcomisiones_mantenimiento_rank	numeric	0	3352486
314	mcomisiones_otras_rank	numeric	417584	128865
315	mforex_buy_rank	numeric	0	4780168
316	mforex_sell_rank	numeric	0	4211350
317	mtransferencias_recibidas_rank	numeric	632040	1279745
318	mtransferencias_emitidas_rank	numeric	0	2378355
319	mextraccion_autoservicio_rank	numeric	153386	2295638
320	mcheques_depositados_rank	numeric	153386	4523251
321	mcheques_emitidos_rank	numeric	153386	4589856
322	mcheques_depositados_rechazados_rank	numeric	153386	4724217
323	mcheques_emitidos_rechazados_rank	numeric	153386	4727093
324	matm_rank	numeric	153386	2699790
325	matm_other_rank	numeric	153386	3561581
326	Master_mfinanciacion_limite_rank	numeric	541263	5819
327	Master_msaldototal_rank	numeric	541263	2371243
328	Master_msaldopesos_rank	numeric	541263	2385648
329	Master_msaldodolares_rank	numeric	541263	4142159
330	Master_mconsumospesos_rank	numeric	2935087	570705
331	Master_mconsumosdolares_rank	numeric	2935087	1772284
332	Master_mlimitecompra_rank	numeric	541263	0
333	Master_madelantopesos_rank	numeric	2935087	1946238
334	Master_madelantodolares_rank	numeric	2935087	1957587
335	Master_mpagado_rank	numeric	541263	4063266
336	Master_mpagospesos_rank	numeric	2935087	184783
337	Master_mpagosdolares_rank	numeric	2935087	1823127
338	Master_mconsumototal_rank	numeric	2935087	570705
339	Master_mpagominimo_rank	numeric	541263	2646939
340	Visa_mfinanciacion_limite_rank	numeric	327901	6851
341	Visa_msaldototal_rank	numeric	205561	463067
342	Visa_msaldopesos_rank	numeric	205561	466548
343	Visa_msaldodolares_rank	numeric	205561	3917189
344	Visa_mconsumospesos_rank	numeric	661099	367519
345	Visa_mconsumosdolares_rank	numeric	661099	2448067
346	Visa_mlimitecompra_rank	numeric	205561	0
347	Visa_madelantopesos_rank	numeric	661099	4210604
348	Visa_madelantodolares_rank	numeric	661099	4230262
349	Visa_mpagado_rank	numeric	205561	3927115
350	Visa_mpagospesos_rank	numeric	661099	139659
351	Visa_mpagosdolares_rank	numeric	661099	3708615
352	Visa_mconsumototal_rank	numeric	661099	367519
353	Visa_mpagominimo_rank	numeric	205561	734129
354	mpayroll_sobre_edad_rank	numeric	31	2390279
355	mv_status07_rank	numeric	0	4692655
356	vm_mfinanciacion_limite_rank	numeric	0	196362
357	vm_msaldototal_rank	numeric	0	598064
358	vm_msaldopesos_rank	numeric	0	601773
359	vm_msaldodolares_rank	numeric	0	4009618
360	vm_mconsumospesos_rank	numeric	0	931678
361	vm_mconsumosdolares_rank	numeric	0	3054873
362	vm_mlimitecompra_rank	numeric	0	176316
363	vm_madelantopesos_rank	numeric	0	4866104
364	vm_madelantodolares_rank	numeric	0	4891198
365	vm_mpagado_rank	numeric	0	4000289
366	vm_mpagospesos_rank	numeric	0	719773
367	vm_mpagosdolares_rank	numeric	0	4286370
368	vm_mconsumototal_rank	numeric	0	931678
=======
pos	campo	tipo	nulos	ceros
1	numero_de_cliente	integer	0	0
2	foto_mes	integer	0	0
3	active_quarter	integer	153386	67807
4	cliente_vip	integer	143762	4728637
5	internet	integer	0	2290390
6	cliente_edad	integer	0	87
7	cliente_antiguedad	integer	0	0
8	cproductos	integer	0	0
9	tcuentas	integer	0	0
10	ccuenta_corriente	integer	0	0
11	ccaja_ahorro	integer	0	0
12	cdescubierto_preacordado	integer	0	186934
13	ctarjeta_debito	integer	0	2524
14	ctarjeta_debito_transacciones	integer	153386	1549971
15	ctarjeta_visa	integer	0	225904
16	ctarjeta_visa_transacciones	integer	153386	714248
17	ctarjeta_master	integer	0	558758
18	ctarjeta_master_transacciones	integer	153386	3005593
19	cprestamos_personales	integer	0	3628619
20	cprestamos_prendarios	integer	0	4835015
21	cprestamos_hipotecarios	integer	0	4832321
22	cplazo_fijo	integer	0	4302275
23	cinversion1	integer	0	4712291
24	cinversion2	integer	0	4720249
25	cseguro_vida	integer	0	4177672
26	cseguro_auto	integer	0	4772479
27	cseguro_vivienda	integer	0	4242239
28	cseguro_accidentes_personales	integer	0	4088274
29	ccaja_seguridad	integer	0	4551003
30	cpayroll_trx	integer	0	2373332
31	cpayroll2_trx	integer	0	4884658
32	ccuenta_debitos_automaticos	integer	0	2554449
33	ctarjeta_visa_debitos_automaticos	integer	254742	1660514
34	ctarjeta_master_debitos_automaticos	integer	0	4087041
35	cpagodeservicios	integer	0	4714173
36	cpagomiscuentas	integer	0	2605587
37	ccajeros_propios_descuentos	integer	136515	4585716
38	ctarjeta_visa_descuentos	integer	136515	4472303
39	ctarjeta_master_descuentos	integer	136515	4608827
40	ccomisiones_mantenimiento	integer	0	3337052
41	ccomisiones_otras	integer	417584	128707
42	cforex	integer	0	4124316
43	cforex_buy	integer	0	4780168
44	cforex_sell	integer	0	4211350
45	ctransferencias_recibidas	integer	632040	1279745
46	ctransferencias_emitidas	integer	0	2373892
47	cextraccion_autoservicio	integer	153386	2295638
48	ccheques_depositados	integer	153386	4523251
49	ccheques_emitidos	integer	153386	4589856
50	ccheques_depositados_rechazados	integer	153386	4724217
51	ccheques_emitidos_rechazados	integer	153386	4727093
52	tcallcenter	integer	153386	4142817
53	ccallcenter_transacciones	integer	153386	4142817
54	thomebanking	integer	153386	1158865
55	chomebanking_transacciones	integer	289901	1075702
56	ccajas_transacciones	integer	153386	3906940
57	ccajas_consultas	integer	153386	4403237
58	ccajas_depositos	integer	153386	4447097
59	ccajas_extracciones	integer	153386	4209597
60	ccajas_otras	integer	153386	4604541
61	catm_trx	integer	153386	2699790
62	catm_trx_other	integer	153386	3561581
63	ctrx_quarter	integer	153386	44027
64	cmobile_app_trx	integer	914607	1372849
65	Master_delinquency	integer	541263	4329145
66	Master_status	integer	541263	4333111
67	Master_Fvencimiento	integer	541263	0
68	Master_Finiciomora	integer	4870408	41
69	Master_fultimo_cierre	integer	544124	303016
70	Master_fechaalta	integer	541263	0
71	Master_cconsumos	integer	2935087	570686
72	Master_cadelantosefectivo	integer	2935087	1946238
73	Visa_delinquency	integer	205561	4619017
74	Visa_status	integer	205561	4664942
75	Visa_Fvencimiento	integer	205561	0
76	Visa_Finiciomora	integer	4824578	35128
77	Visa_fultimo_cierre	integer	207447	307187
78	Visa_fechaalta	integer	205561	0
79	Visa_cconsumos	integer	661099	367315
80	Visa_cadelantosefectivo	integer	661099	4210604
81	clase_ternaria	character	0	0
82	ctrx_quarter_normalizado	integer	153386	44027
83	vm_status01	integer	176316	4688197
84	vm_status02	integer	570508	4301548
85	vm_status03	numeric	0	4301548
86	vm_status04	numeric	0	4301548
87	vm_status05	numeric	0	4301548
88	vm_status06	numeric	0	4692047
89	vm_Fvencimiento	integer	176316	0
90	vm_Finiciomora	integer	4811971	35169
91	vm_fultimo_cierre	integer	178108	275854
92	vm_fechaalta	integer	176316	0
93	vm_cconsumos	numeric	0	931516
94	vm_cadelantosefectivo	numeric	0	4866104
95	vmr_Master_mlimitecompra	numeric	541263	0
96	vmr_Visa_mlimitecompra	numeric	205561	0
97	vmr_msaldototal	numeric	0	598064
98	vmr_msaldopesos	numeric	0	601773
99	vmr_msaldopesos2	numeric	17	601773
100	vmr_msaldodolares	numeric	0	4009618
101	vmr_msaldodolares2	numeric	22	4009618
102	vmr_mconsumospesos	numeric	0	931678
103	vmr_mconsumosdolares	numeric	0	3054873
104	vmr_madelantopesos	numeric	0	4866104
105	vmr_madelantodolares	numeric	0	4891198
106	vmr_mpagado	numeric	0	4000289
107	vmr_mpagospesos	numeric	0	719773
108	vmr_mpagosdolares	numeric	0	4286370
109	vmr_mconsumototal	numeric	0	931678
110	vmr_mpagominimo	numeric	0	808085
111	informacion_cliente_nueva_variable_1	integer	0	87
112	informacion_cliente_nueva_variable_2	integer	4622243	0
113	informacion_cliente_nueva_variable_3	integer	0	0
114	informacion_cliente_nueva_variable_4	integer	0	0
115	informacion_cliente_nueva_variable_5	integer	0	0
116	informacion_cliente_nueva_variable_6	integer	0	87
117	informacion_cliente_nueva_variable_7	integer	0	0
118	informacion_cliente_nueva_variable_8	numeric	0	87
119	informacion_cliente_nueva_variable_9	integer	0	0
120	informacion_cliente_nueva_variable_10	integer	4542342	87
121	informacion_cliente_nueva_variable_11	integer	0	0
122	informacion_cliente_nueva_variable_12	integer	0	0
123	informacion_cliente_nueva_variable_13	numeric	0	87
124	informacion_cliente_nueva_variable_14	integer	4622243	0
125	informacion_cliente_nueva_variable_15	integer	0	0
126	informacion_cliente_nueva_variable_16	integer	4542342	87
127	informacion_cliente_nueva_variable_17	integer	0	0
128	rendimiento_financiero_nueva_variable_1	numeric	417584	11922
129	rendimiento_financiero_nueva_variable_2	numeric	417584	13379
130	rendimiento_financiero_nueva_variable_3	numeric	417584	10309
131	rendimiento_financiero_nueva_variable_4	numeric	417584	11925
132	rendimiento_financiero_nueva_variable_5	numeric	417584	202534
133	rendimiento_financiero_nueva_variable_6	numeric	417584	11925
134	rendimiento_financiero_nueva_variable_7	numeric	417584	12105
135	rendimiento_financiero_nueva_variable_8	numeric	496412	202399
136	rendimiento_financiero_nueva_variable_9	numeric	417584	10220
137	rendimiento_financiero_nueva_variable_10	numeric	417584	12083
138	rendimiento_financiero_nueva_variable_11	numeric	465466	10354
139	rendimiento_financiero_nueva_variable_12	numeric	417756	58101
140	rendimiento_financiero_nueva_variable_13	numeric	417719	58101
141	rendimiento_financiero_nueva_variable_14	numeric	417584	10353
142	rendimiento_financiero_nueva_variable_15	numeric	417584	161747
143	rendimiento_financiero_nueva_variable_16	numeric	417584	11925
144	rendimiento_financiero_nueva_variable_17	numeric	417584	10219
145	productos_cuentas_nueva_variable_1	integer	0	0
146	productos_cuentas_nueva_variable_2	numeric	0	0
147	productos_cuentas_nueva_variable_3	numeric	0	4889978
148	productos_cuentas_nueva_variable_4	integer	0	0
149	productos_cuentas_nueva_variable_5	numeric	0	0
150	productos_cuentas_nueva_variable_6	numeric	0	2425857
151	productos_cuentas_nueva_variable_7	integer	0	0
152	productos_cuentas_nueva_variable_8	numeric	0	67
153	productos_cuentas_nueva_variable_9	integer	0	0
154	productos_cuentas_nueva_variable_10	integer	0	0
155	productos_cuentas_nueva_variable_11	numeric	0	2425857
156	productos_cuentas_nueva_variable_12	numeric	0	1
157	productos_cuentas_nueva_variable_13	integer	0	0
158	productos_cuentas_nueva_variable_14	numeric	0	4889978
159	productos_cuentas_nueva_variable_15	integer	0	0
160	productos_cuentas_nueva_variable_16	integer	0	0
161	productos_cuentas_nueva_variable_17	integer	0	0
162	productos_cuentas_nueva_variable_18	numeric	0	0
163	productos_cuentas_nueva_variable_19	numeric	0	4889978
164	ahorros_depositos_nueva_variable_1	numeric	0	0
165	ahorros_depositos_nueva_variable_2	numeric	0	2100926
166	ahorros_depositos_nueva_variable_3	numeric	2724401	2100926
167	ahorros_depositos_nueva_variable_4	numeric	0	2182666
168	ahorros_depositos_nueva_variable_5	numeric	0	2054471
169	ahorros_depositos_nueva_variable_6	numeric	0	4778872
170	ahorros_depositos_nueva_variable_7	numeric	0	319282
171	ahorros_depositos_nueva_variable_8	numeric	0	0
172	ahorros_depositos_nueva_variable_9	numeric	0	327802
173	ahorros_depositos_nueva_variable_10	numeric	0	319284
174	ahorros_depositos_nueva_variable_11	numeric	0	2100926
175	ahorros_depositos_nueva_variable_12	numeric	0	0
